Title|Author|Genre|Year|Status
Mindful Focus (Vol. 8)|R. Hasan|Self-Help|2000|Available
Empire Chronicles (Vol. 8)|N. Karim|History|2017|Finished
Learning Data Science (Vol. 3)|S. Ahmed|Programming|1999|Finished
The Silent City (Vol. 2)|A. Rahman|Fiction|2000|Available
Mindful Focus (Vol. 4)|R. Hasan|Self-Help|1983|Reading
The Silent City (Vol. 7)|A. Rahman|Fiction|2020|Reading
Mindful Focus (Vol. 3)|R. Hasan|Self-Help|1990|Available
Mindful Focus (Vol. 9)|R. Hasan|Self-Help|2020|Finished
Ocean of Stars (Vol. 1)|M. Chowdhury|Sci-Fi|1983|Available
Learning Data Science (Vol. 4)|S. Ahmed|Programming|1990|Reading
Mindful Focus (Vol. 3)|R. Hasan|Self-Help|2004|Reading
The Silent City (Vol. 1)|A. Rahman|Fiction|1983|Reading
Life of a Pioneer (Vol. 1)|T. Islam|Biography|1986|Finished
Learning Data Science (Vol. 5)|S. Ahmed|Programming|1977|Available
Mindful Focus (Vol. 6)|R. Hasan|Self-Help|1995|Finished
Everyday Economics (Vol. 7)|F. Hossain|Non-Fiction|1999|Available
Life of a Pioneer (Vol. 3)|T. Islam|Biography|1950|Finished
Empire Chronicles (Vol. 7)|N. Karim|History|1972|Finished
Everyday Economics (Vol. 4)|F. Hossain|Non-Fiction|2022|Reading
Miscellaneous Notes (Vol. 2)|Unknown|Other|1961|Available
Empire Chronicles (Vol. 8)|N. Karim|History|2004|Finished
Learning Data Science (Vol. 7)|S. Ahmed|Programming|1956|Finished
Learning Data Science (Vol. 4)|S. Ahmed|Programming|1977|Reading
Miscellaneous Notes (Vol. 7)|Unknown|Other|2001|Reading
Ocean of Stars (Vol. 4)|M. Chowdhury|Sci-Fi|2021|Available
Empire Chronicles (Vol. 4)|N. Karim|History|1990|Finished
